,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C_Cl C_charge,0.325409349,0.102903458,0.655481736,0.094373663,0.553654751,0.313938359,0.13483702,0.53636079,0.160715028,0.307073464,0.137718804,0.173429003,0.091101421,0.120240133,0.276048699,0.239229092,0.01889444,0.046769394,0.014719595,0.429751013,0.238420916,0.419098129,0.388687451,0.049731753,0.018970708,0.121120776,0.154009002,0.18551303,0.006631599,0.015967702,0.128786086,0.159679471,0.013489413,0.086326103,0.279041233,0.249347441,0.272620644
C_Cl C_Hirshfield_charge,0.102903458,0.392484799,0.683750537,0.132976606,0.115051546,0.268328806,0.234451078,0.327193125,0.340032701,0.048080386,0.29912916,0.222079896,0.314246314,0.02353436,0.46628203,0.453134416,0.436956711,0.273910483,0.126665678,0.391411351,0.089928725,0.253205911,0.097833069,0.126245111,0.115679961,0.308522407,0.043410372,0.116664005,0.229288061,0.267907891,0.130158364,0.173307592,0.089165724,0.099739048,0.225878242,0.167547629,0.158499375
C_Cl MinAromaticChargeDist,0.655481736,0.683750537,0.536714433,0.17019486,0.318814921,0.026582035,0.276922834,0.145061187,0.14026476,0.26177689,0.32814323,0.295841596,0.305421809,0.070341138,0.151508528,0.168537557,0.345616857,0.242274736,0.106968295,0.018094008,0.106630417,0.499699167,0.359424058,0.05936681,0.073911929,0.145387587,0.145941552,0.04751811,0.178950038,0.191692738,0.004342839,0.014439821,0.077594297,0.012396312,0.033211376,0.05571473,0.079658003
B_G,0.094373663,0.132976606,0.17019486,0.284694777,0.096334662,0.773812375,0.899109992,0.140550134,0.689717409,0.038470692,0.019558174,0.025683011,0.02854497,0.004640951,0.044945908,0.041067528,0.02967516,0.073674299,0.012314163,0.051085162,0.060133104,0.074963159,0.060327329,0.108223045,0.002524801,0.184389299,0.088866938,0.147669427,0.252427254,0.248792543,0.109523247,0.034543307,0.109395305,0.103478709,0.136027569,0.1008547,0.104585838
B_HOMO,0.553654751,0.115051546,0.318814921,0.096334662,0.317582955,0.540030058,0.076870954,0.399789443,0.045348881,0.172249235,0.018826959,0.026959411,0.073587565,0.011437275,0.219672901,0.290488366,0.109470906,0.007872747,0.104636721,0.348843829,0.096843167,0.284513885,0.279992669,0.060028651,0.112679473,0.144981384,0.08740302,0.191249791,0.24175179,0.177547372,0.040395292,0.040038103,0.08586927,0.078843313,0.151694562,0.127375563,0.175032613
B_LUMO_B,0.313938359,0.268328806,0.026582035,0.773812375,0.540030058,0.202327614,0.616299562,0.289068407,0.735845787,0.170278848,0.013698032,0.053165838,0.100887108,0.04215575,0.239457499,0.20096084,0.118735363,0.064598799,0.014995362,0.218765053,0.209623236,0.151996801,0.169868734,0.047238003,0.091012372,0.211698404,0.177901666,0.050643029,0.208251291,0.209757554,0.213041832,0.139913363,0.075797497,0.143047968,0.017305413,0.024567945,0.002726509
B_LUMO+1_B,0.13483702,0.234451078,0.276922834,0.899109992,0.076870954,0.616299562,0.375238253,0.050325325,0.727145855,0.065176443,0.043523417,0.009391707,0.028788547,0.036383741,0.078900941,0.050884008,0.055723919,0.133022618,0.005117053,0.036076015,0.093255882,0.107599063,0.060179839,0.176886252,0.022383126,0.2872828,0.113441228,0.189494416,0.366215581,0.35572359,0.111562043,0.088538911,0.149803779,0.180514573,0.145237902,0.097019491,0.161650858
B_dipole,0.53636079,0.327193125,0.145061187,0.140550134,0.399789443,0.289068407,0.050325325,0.133356552,0.478282959,0.247492735,0.002588235,0.020669881,0.115133457,0.000443796,0.37601536,0.322698323,0.170579038,0.09407702,0.016100893,0.391693984,0.298506676,0.350553123,0.428598916,0.10968829,0.125813562,0.248711679,0.292768199,0.033719488,0.246380136,0.266841468,0.252426329,0.320615737,0.038035772,0.287262883,0.136875924,0.120203488,0.041139017
B_spin,0.160715028,0.340032701,0.14026476,0.689717409,0.045348881,0.735845787,0.727145855,0.478282959,0.477765679,0.154134325,0.035167338,0.058156474,0.07283169,0.022523268,0.246327341,0.123618497,0.100810877,0.096999834,0.09096779,0.148496152,0.272350735,0.128966611,0.179870577,0.199478719,0.02817891,0.440546385,0.26851192,0.187688949,0.509714886,0.492084361,0.270510319,0.290071614,0.146655257,0.331243914,0.026758757,0.000915483,0.173806919
Ini_G,0.307073464,0.048080386,0.26177689,0.038470692,0.172249235,0.170278848,0.065176443,0.247492735,0.154134325,0.172397906,0.510783388,0.233296171,0.11899055,0.466205436,0.138501574,0.405902211,0.084573148,0.371305682,0.34269671,0.241514801,0.524579319,0.294223488,0.230039018,0.03143525,0.044073397,0.141649898,0.088846403,0.0550934,0.154472502,0.108206933,0.110814573,0.027335452,0.191366498,0.039446395,0.01192828,0.030208313,0.038813554
