B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs
[BH2-][n+]1ccc(N2CCCC2)cc1,9,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CCN 9_1 O,3016,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,CC(C)(C)OOC(C)(C)C,4002,CCN 9_1 O,3016,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CCN 9_1 O,3016,,2.5
[BH2-][n+]1ccc(N2CCCC2)cc1,9,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CCN 6_1 O,3017,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1Cl,2002,CC(C)(C)OOC(C)(C)C,4002,CCN 9_1 O,3016,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,FC(F)(F)c1cc(S)cc(C(F)(F)F)c1,2006,CC(C)(C)OOC(C)(C)C,4002,CCN 9_1 O,3016,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,CC(C)(C)OOC(C)(C)C,4002,CCN 6_1 O,3017,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,COc1ccccc1S,2003,CC(C)(C)OOC(C)(C)C,4002,CCN 9_1 O,3016,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CCN 3_1 O,3018,,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(C)(C)C,4002,CCN 6_1 O,3017,,2.5
