B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs,Cl_Index,Cl_Atomid
[BH2-][n+]1ccc(N2CCCC2)cc1,9,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N2CCCC2)cc1,9,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CS(C)=O,3010,DMSO,1.5,5001,19
[BH2-][n+]1ccc(N(C)C)cc1,6,COc1ccccc1S,2003,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CS(C)=O,3010,DMSO,1.5,5001,19
[BH2-][n+]1ccc(N(C)C)cc1,6,COc1ccccc1S,2003,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N2CCCC2)cc1,9,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C)OOC(=O)c1ccccc1,4006,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N2CCCC2)cc1,9,COc1ccccc1S,2003,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CS(C)=O,3010,DMSO,2.0,5001,19
[BH2-][n+]1ccc(N2CCCC2)cc1,9,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(=O)OOC(C)(C)C,4007,CS(C)=O,3010,DMSO,2.5,5001,19
