Smiles,Index,Atomid,Type,E_energy,G_energy,conf_idxs,Appendix
[BH2-][N+](C)(C)C,0,0,B,-200.4721039,-200.3571969,0,
C[N+](C)(C)[BH-]C#N,1,4,B,-292.7478355,-292.6356015,0,
[BH2-][NH+](C)C,2,0,B,-161.1666174,-161.0785874,0,
[BH2-][N+](c1ccccc1)(c1ccccc1)c1ccccc1,3,0,B,-775.5982293,-775.3415603,0,
[BH2-][P+](c1ccccc1)(c1ccccc1)c1ccccc1,4,0,B,-1062.255388,-1062.00878,0,
[BH2-][n+]1ccccc1,5,0,B,-274.3023311,-274.2208861,0,
[BH2-][n+]1ccc(N(C)C)cc1,6,0,B,-408.265819,-408.116834,1,
CN(C)c1cc[n+]([BH-]C#N)cc1,7,7,B,-500.5281989,-500.3814739,0,
CN(C)c1cc[n+]([BH-]c2ccccc2)cc1,8,7,B,-639.3105585,-639.0860025,1,
[BH2-][n+]1ccc(N2CCCC2)cc1,9,0,B,-485.6919483,-485.5081263,0,
[BH2-][n+]1ccc(C#N)cc1,10,0,B,-366.5408082,-366.4627852,0,
[BH2-][n+]1ccc(OC)cc1,11,0,B,-388.8199199,-388.7093229,0,
[BH2-][n+]1cccc(OC)c1,12,0,B,-388.8216609,-388.7106579,0,
[BH2-][n+]1ccc(C(C)(C)C)cc1,13,0,B,-431.5594436,-431.3714476,0,
[BH2-]c1n(C)cc[n+]1C,14,0,B,-330.8516121,-330.7347481,0,
Cn1cc[n+](C)c1[BH-]C#N,15,7,B,-423.1190029,-423.0031519,0,
[BH2-]c1n(C)nc[n+]1C,16,0,B,-346.8856023,-346.7803413,0,
[BH2-]c1n(C)c(C#N)c[n+]1C,17,0,B,-423.0805836,-422.9674626,0,
[BH2-]c1n(C)c(C(F)(F)F)c[n+]1C,18,0,B,-667.9057115,-667.7895185,0,
[BH2-]c1n(C)c2ccccc2[n+]1C,20,0,B,-484.4894929,-484.3315079,0,
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,3,B,-576.7533084,-576.5943684,0,
[BH2-]c1n(C)c2cccnc2[n+]1C,22,0,B,-500.5327269,-500.3839099,0,
[BH2-]c1n(C)c2cc(OC)ccc2[n+]1C,23,0,B,-599.0084664,-598.8197274,0,
[BH2-]c1n(C)c2cc(F)c(F)cc2[n+]1C,24,0,B,-682.9615661,-682.8235931,0,
[BH2-]c1n(C)c2ccccc2[n+]1-c1ccccc1,25,0,B,-676.2069219,-675.9985219,0,
C[N+](C)(C)[BH2-]Cl,1000,5,BNCl,-660.8122379,-660.6940329,0,
C[N+](C)(C)[BH-](Cl)C#N,1001,7,BNCl,-753.0694198,-752.9533518,0,
C[NH+](C)[BH2-]Cl,1002,4,BNCl,-621.5069536,-621.4158126,0,
Cl[BH2-][N+](c1ccccc1)(c1ccccc1)c1ccccc1,1003,20,BNCl,-1235.932741,-1235.672495,1,
Cl[BH2-][P+](c1ccccc1)(c1ccccc1)c1ccccc1,1004,20,BNCl,-1522.575056,-1522.325708,3,
Cl[BH2-][n+]1ccccc1,1005,7,BNCl,-734.5983023,-734.5147453,0,
CN(C)c1cc[n+]([BH2-]Cl)cc1,1006,10,BNCl,-868.5786488,-868.4278558,0,
CN(C)c1cc[n+]([BH-](Cl)C#N)cc1,1007,12,BNCl,-960.8377377,-960.6892587,2,
CN(C)c1cc[n+]([BH-](Cl)c2ccccc2)cc1,1008,16,BNCl,-1099.622617,-1099.396246,1,
Cl[BH2-][n+]1ccc(N2CCCC2)cc1,1009,12,BNCl,-946.0064576,-945.8191396,1,
N#Cc1cc[n+]([BH2-]Cl)cc1,1010,9,BNCl,-826.8188284,-826.7399824,0,
COc1cc[n+]([BH2-]Cl)cc1,1011,9,BNCl,-849.1259815,-849.0135465,0,
COc1ccc[n+]([BH2-]Cl)c1,1012,9,BNCl,-849.118289,-849.005353,0,
CC(C)(C)c1cc[n+]([BH2-]Cl)cc1,1013,11,BNCl,-891.8592791,-891.6695621,0,
Cn1cc[n+](C)c1[BH2-]Cl,1014,8,BNCl,-791.1543208,-791.0368128,0,
Cn1cc[n+](C)c1[BH-](Cl)C#N,1015,10,BNCl,-883.4151126,-883.2986066,0,
Cn1nc[n+](C)c1[BH2-]Cl,1016,8,BNCl,-807.1857241,-807.0792981,0,
Cn1c(C#N)c[n+](C)c1[BH2-]Cl,1017,10,BNCl,-883.3778924,-883.2636194,0,
Cn1c(C(F)(F)F)c[n+](C)c1[BH2-]Cl,1018,12,BNCl,-1128.205181,-1128.086693,0,
Cn1c([BH2-]Cl)[n+](C)c2ccccc21,1020,12,BNCl,-944.7885487,-944.6262427,0,
Cn1c([BH-](Cl)C#N)[n+](C)c2ccccc21,1021,14,BNCl,-1037.047251,-1036.886406,1,
Cn1c([BH2-]Cl)[n+](C)c2ncccc21,1022,12,BNCl,-960.8274032,-960.6763392,0,
COc1ccc2c(c1)n(C)c([BH2-]Cl)[n+]2C,1023,14,BNCl,-1059.308637,-1059.116294,0,
Cn1c([BH2-]Cl)[n+](C)c2cc(F)c(F)cc21,1024,14,BNCl,-1143.258793,-1143.1151,0,
Cn1c([BH2-]Cl)[n+](-c2ccccc2)c2ccccc21,1025,17,BNCl,-1136.505232,-1136.295206,0,
Sc1ccccc1,2000,0,S,-630.4271625,-630.3579205,0,
FC(F)(F)c1ccccc1S,2001,10,S,-967.479855,-967.410737,0,
Sc1ccccc1Cl,2002,0,S,-1090.033373,-1089.976178,0,
COc1ccccc1S,2003,8,S,-744.9489387,-744.8504267,0,
Fc1ccc(S)c(F)c1,2004,5,S,-828.9063966,-828.8563346,0,
CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,10,S,-984.2541888,-983.9454728,0,
FC(F)(F)c1cc(S)cc(C(F)(F)F)c1,2006,7,S,-1304.540005,-1304.473133,0,
Cc1cccc(C)c1S,2007,8,S,-709.0599728,-708.9382388,0,
COC(=O)c1ccccc1S,2008,10,S,-858.2994061,-858.1925081,0,
Sc1ccccn1,2009,0,S,-646.4661598,-646.4081188,0,
COc1ccc(CS)cc1,2010,7,S,-784.2638363,-784.1388493,0,
COC(=O)CCS,2011,6,S,-705.8996312,-705.8143182,0,
SC1CCCCC1,2012,0,S,-634.0801131,-633.9410831,0,
CC(C)(C)CC(C)(S)CC(C)(C)C,2013,7,S,-871.1498951,-870.8323951,0,
Fc1ccccc1,3000,-1,sol,-331.4707342,-331.4069272,0,PhF
FC(F)(F)c1ccccc1,3001,-1,sol,-569.2876964,-569.2162674,0,PhCF3
Cc1ccccc1,3002,-1,sol,-271.5453881,-271.4476381,0,PhMe
CC#N,3003,-1,sol,-132.7473506,-132.7256846,0,CH3CN
C1COCCO1,3004,-1,sol,-307.6575364,-307.5625654,0,dioxane
CCOC(C)=O,3006,-1,sol,-307.7054907,-307.6179867,0,EA
CN(C)C=O,3007,-1,sol,-248.5112152,-248.4371482,0,DMF
CS(C)=O,3010,-1,sol,-553.2003289,-553.1485519,0,DMSO
CCO,3011,-1,sol,-155.0455145,-154.9904275,0,EtOH
C1CCOC1,3012,-1,sol,-232.4480016,-232.3588166,0,THF
COC(=O)OC,3013,-1,sol,-343.6057657,-343.5401187,0,DMC
