B_N,B_N_id,Thiol,Thiol_id,solvent,solvent_id,ini,ini_id,ini_t
[BH2-][N+](C)(C)C,0,Sc1ccccc1,2000,Fc1ccccc1,3000,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,80
C[N+](C)(C)[BH-]C#N,1,FC(F)(F)c1ccccc1S,2001,FC(F)(F)c1ccccc1,3001,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,60
[BH2-][NH+](C)C,2,Sc1ccccc1Cl,2002,Cc1ccccc1,3002,CC(C)(C)OOC(C)(C)C,4002,120
[BH2-][N+](c1ccccc1)(c1ccccc1)c1ccccc1,3,COc1ccccc1S,2003,CC#N,3003,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,85
[BH2-][P+](c1ccccc1)(c1ccccc1)c1ccccc1,4,Fc1ccc(S)c(F)c1,2004,C1COCCO1,3004,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,4004,80
[BH2-][n+]1ccccc1,5,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O,3005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,80
[BH2-][n+]1ccc(N(C)C)cc1,6,FC(F)(F)c1cc(S)cc(C(F)(F)F)c1,2006,CCOC(C)=O,3006,CC(C)(C)OOC(=O)c1ccccc1,4006,100
CN(C)c1cc[n+]([BH-]C#N)cc1,7,Cc1cccc(C)c1S,2007,CN(C)C=O,3007,CC(=O)OOC(C)(C)C,4007,100
CN(C)c1cc[n+]([BH-]c2ccccc2)cc1,8,COC(=O)c1ccccc1S,2008,CN1CCCC1=O,3008,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,4008,120
[BH2-][n+]1ccc(N2CCCC2)cc1,9,Sc1ccccn1,2009,CC1CN(C)C(=O)N1C,3009,,,
[BH2-][n+]1ccc(C#N)cc1,10,COc1ccc(CS)cc1,2010,CS(C)=O,3010,,,
[BH2-][n+]1ccc(OC)cc1,11,COC(=O)CCS,2011,CCO,3011,,,
[BH2-][n+]1cccc(OC)c1,12,SC1CCCCC1,2012,C1CCOC1,3012,,,
[BH2-][n+]1ccc(C(C)(C)C)cc1,13,CC(C)(C)CC(C)(S)CC(C)(C)C,2013,COC(=O)OC,3013,,,
[BH2-]c1n(C)cc[n+]1C,14,,,CCOCC,3014,,,
Cn1cc[n+](C)c1[BH-]C#N,15,,,CCOC(C)(C)C,3015,,,
[BH2-]c1n(C)nc[n+]1C,16,,,,,,,
[BH2-]c1n(C)c(C#N)c[n+]1C,17,,,,,,,
[BH2-]c1n(C)c(C(F)(F)F)c[n+]1C,18,,,,,,,
[BH2-]c1n(C)c(Cl)c(Cl)[n+]1C,19,,,,,,,
[BH2-]c1n(C)c2ccccc2[n+]1C,20,,,,,,,
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,,,,,,,
[BH2-]c1n(C)c2cccnc2[n+]1C,22,,,,,,,
[BH2-]c1n(C)c2cc(OC)ccc2[n+]1C,23,,,,,,,
[BH2-]c1n(C)c2cc(F)c(F)cc2[n+]1C,24,,,,,,,
[BH2-]c1n(C)c2ccccc2[n+]1-c1ccccc1,25,,,,,,,
