B,B_eq,ini,ini_eq,sol_1,sol_2,sol2_eq,S,S_eq,yield_2,yield_3
11,1.5,4001,0.2,3003,3005,0.33,2007,0.2,77,10
11,1.5,4003,0.2,3003,3005,0.33,2007,0.2,62,15
11,1.5,4000,0.2,3003,3005,0.33,2007,0.2,60,15
11,1.5,4001,0.2,3003,3005,0.33,2001,0.2,70,12
11,1.5,4001,0.2,3003,3005,0.33,2003,0.2,60,10
11,1.5,4001,0.2,3003,3003,1,2007,0.2,65,10
11,1.5,4001,0.2,3001,3001,1,2007,0.2,28,14
11,1.5,4001,0.2,3004,3004,1,2007,0.2,30,10
11,2,4001,0.2,3003,3005,0.33,2003,0.2,65,9
11,1.5,4001,0.2,3003,3005,0.33,2003,0.2,72,10
11,1.5,4001,0.2,3003,3005,0.33,2008,0.2,75,15
11,1.2,4001,0.2,3003,3005,0.33,2007,0.2,70,11
6,1.5,4001,0.2,3003,3005,0.33,2007,0.2,40,10
7,1.5,4001,0.2,3003,3005,0.33,2007,0.2,0,0
10,1.5,4001,0.2,3003,3005,0.33,2007,0.2,0,0
9,1.5,4001,0.2,3003,3005,0.33,2007,0.2,0,0
