B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1Cl,2002,CC(=O)OOC(C)(C)C,4007,CN(C)C=O,3007,DMF,1.5
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,2.0
[BH2-][n+]1ccc(N(C)C)cc1,6,COC(=O)c1ccccc1S,2008,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,1.5
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1Cl,2002,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,2.5
[BH2-][n+]1ccc(N(C)C)cc1,6,COC(=O)c1ccccc1S,2008,CC(=O)OOC(C)(C)C,4007,CN(C)C=O,3007,DMF,2.5
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,CC(=O)OOC(C)(C)C,4007,CN(C)C=O,3007,DMF,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,CC(=O)OOC(C)(C)C,4007,CN(C)C=O,3007,DMF,2.0
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1,2000,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,Sc1ccccc1Cl,2002,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,1.5
[BH2-][n+]1ccc(N(C)C)cc1,6,COC(=O)c1ccccc1S,2008,CC(=O)OOC(C)(C)C,4007,CN(C)C=O,3007,DMF,1.5
