iter	Passed	Remaining
0	0	5371
1	0	4608
2	1	4215
3	1	4013
4	1	3901
5	2	3803
6	2	3708
7	2	3662
8	3	3727
9	3	3641
10	3	3545
11	4	3496
12	4	3432
13	4	3345
14	4	3293
15	5	3228
16	5	3184
17	5	3142
18	5	3142
19	6	3175
20	6	3186
21	7	3192
22	7	3169
23	7	3171
24	7	3148
25	8	3114
26	8	3124
27	8	3113
28	9	3098
29	9	3105
30	9	3075
31	9	3059
32	10	3049
33	10	3028
34	10	3018
35	10	2992
36	11	2979
37	11	2959
38	11	2938
39	11	2950
40	12	2957
41	12	2974
42	12	2975
43	13	2988
44	13	2991
45	13	2977
46	14	2979
47	14	2974
48	14	2960
49	14	2959
50	15	2948
51	15	2964
52	15	2970
53	16	2962
54	16	2947
55	16	2932
56	16	2927
57	17	2916
58	17	2907
59	17	2902
60	17	2889
61	17	2875
62	18	2870
63	18	2877
64	18	2883
65	19	2881
66	19	2873
67	19	2878
68	20	2884
69	20	2886
70	20	2881
71	20	2876
72	21	2880
73	21	2882
74	21	2879
75	22	2875
76	22	2872
77	22	2867
78	22	2867
79	23	2864
80	23	2855
81	23	2846
82	23	2837
83	23	2828
84	24	2826
85	24	2826
86	24	2831
87	25	2834
88	25	2830
89	25	2822
90	25	2816
91	26	2811
92	26	2804
93	26	2796
94	26	2788
95	26	2779
96	27	2772
97	27	2772
98	27	2772
99	27	2765
100	28	2758
101	28	2751
102	28	2743
103	28	2736
104	28	2729
105	29	2730
106	29	2730
107	29	2724
108	30	2723
109	30	2718
110	30	2716
111	30	2716
112	31	2715
113	31	2712
114	31	2708
115	31	2711
116	32	2718
117	32	2717
118	32	2718
119	32	2712
120	33	2715
121	33	2717
122	33	2715
123	34	2709
124	34	2704
125	34	2705
126	34	2700
127	34	2695
128	35	2691
129	35	2689
130	35	2685
131	35	2680
132	36	2675
133	36	2670
134	36	2667
135	36	2667
136	37	2665
137	37	2662
138	37	2663
139	37	2659
140	37	2655
141	38	2652
142	38	2648
143	38	2643
144	38	2644
145	39	2641
146	39	2637
147	39	2632
148	39	2628
149	39	2624
150	40	2620
151	40	2616
152	40	2613
153	40	2609
154	41	2605
155	41	2601
156	41	2597
157	41	2597
158	41	2593
159	42	2589
160	42	2586
161	42	2582
162	42	2581
163	42	2578
164	43	2576
165	44	2624
166	44	2626
167	44	2630
168	45	2633
169	45	2634
170	45	2635
171	46	2637
172	46	2637
173	46	2636
174	46	2636
175	47	2636
176	47	2638
177	47	2640
178	48	2642
179	48	2640
180	48	2637
181	48	2641
182	49	2641
183	49	2641
184	49	2643
185	50	2644
186	50	2644
187	50	2641
188	50	2644
189	51	2641
190	51	2642
191	51	2647
192	52	2646
193	52	2645
194	52	2644
195	52	2641
196	53	2637
197	53	2638
198	53	2635
199	53	2631
200	53	2628
201	54	2624
202	54	2621
203	54	2618
204	54	2615
205	54	2612
206	55	2614
207	55	2614
208	55	2615
209	56	2613
210	56	2610
211	56	2609
212	56	2608
213	57	2610
214	57	2607
215	58	2627
216	58	2629
217	58	2632
218	58	2632
219	59	2630
220	59	2631
221	59	2629
222	59	2626
223	60	2626
224	60	2630
225	60	2632
226	61	2633
227	61	2634
228	61	2635
229	62	2638
230	62	2637
231	62	2636
232	62	2636
233	63	2635
234	63	2636
235	63	2633
236	63	2631
237	64	2628
238	64	2625
239	64	2622
240	64	2619
241	64	2616
242	65	2613
243	65	2611
244	65	2608
245	65	2606
246	65	2603
247	66	2600
248	66	2597
249	66	2596
250	66	2595
251	67	2593
252	67	2591
253	67	2594
254	67	2593
255	68	2594
256	68	2593
257	68	2591
258	68	2589
259	69	2586
260	69	2584
261	69	2582
262	69	2580
263	69	2577
264	70	2576
265	70	2575
266	70	2573
267	70	2570
268	71	2569
269	71	2566
270	71	2564
271	71	2561
272	72	2568
273	72	2568
274	72	2568
275	72	2567
276	73	2566
277	73	2569
278	73	2571
279	74	2571
280	74	2577
281	74	2577
282	75	2578
