Complexity,Loss,Equation
1,659.18085,"30.339863"
3,463.78522,"x2 + 181.00789"
5,408.0003,"(x3 * 6.2486353) + x14"
6,402.34402,"(inv(x1) * 10.331945) + x14"
7,333.9501,"exp(inv(x1) + x12) + x14"
8,309.20532,"exp(inv(x8) + (inv(x1) + x12))"
10,298.18118,"exp(inv(x8) + (inv(x1) + x12)) + x4"
12,292.93262,"(exp(inv(x8) + (inv(x1) + x12)) + x4) + -2.2909234"
13,288.77954,"(exp((inv(x8) + inv(sin(x1))) + x12) + -4.453513) + x4"
14,283.48468,"(exp(inv(x8) + (inv(x1) + x12)) + inv(cos(x0))) + x4"
16,274.64032,"exp(inv(x8) + (x12 + inv(x1))) + ((inv(cos(x0)) * x7) + x4)"
17,273.46902,"exp((inv(x8) + inv(sin(x1))) + x12) + ((inv(cos(x0)) * x7) + x4)"
18,269.8832,"((inv(cos(x0)) * x7) + x4) + exp(inv(x1) + ((x12 * 1.073355) + inv(x8)))"
20,268.13382,"(exp((x12 * 1.1123852) + (inv(x1) + inv(x8))) + -1.8037473) + (x4 + (inv(cos(x0)) * x7))"
